genotype,cage,no per cage,coltonid,sex,dob,series,civmmid,MWM,age at MWM,avarage age at MWM,NOR,Numer of NOR,,pump surgery,b7T age,Days of treatment,Date of image,Image animals,Date of Perfusion,,MRI 9T scan,DTIrunno,T1RARErunno,MGErunno,T1maprunno_VTR,regid,studyid,8 e4_mwm only,3 females,5 males,archivedDWI,rollneeded,tensorQA,,SNR_DWI_B0,SNR_DWI_B15
c57,,,2,m,2/5/2016,2,170206-10:0,2/6/2017,367,,2/13/2017,,,4/7/2017,427,6,4/13/2017,,4/14/2017,,5/17/2017,N54824,5355,5356,,20160211.GY1,20170413,,,,1,,,,,
c57,,,3,m,2/5/2016,2,170206-11:0,2/6/2017,367,,2/13/2017,,,4/7/2017,427,6 and 7,4/13/2017,,4/14/2017,,5/18/2017,N54825,5360,5361,,20160211.GY1,20170413,VTR failed,,,1,,,,,
c57,,,4,m,2/5/2016,2,170206-12:0,2/6/2017,367,387.3333333,2/13/2017,,,4/7/2017,427,6,4/13/2017,,4/14/2017,,5/19/2017,N54826,5365,5366,,20160211.GY1,20170413,,,,1,,,,,
c57,904461,2,,f,2/27/2016,3,170313-1:0,3/13/2017,380,,3/20/2017,7,,4/25/2017,423,7,5/2/2017,,5/2/2017,,5/26/2017,N54837,5370,5371,,20160211.Hg1,20170501,,,,1,,,,,
c57,,,,f,2/27/2016,3,170313-2:0,3/13/2017,380,,3/20/2017,,,4/25/2017,423,7,5/2/2017,,5/2/2017,,6/1/2017,N54838,5375,5376,,20160211.Hg1,20170501,,,,1,,,,,
c57,879162,5,,m,2/27/2016,3,170313-3:0,3/13/2017,380,,3/20/2017,,,4/25/2017,423,6,5/1/2017,,5/2/2017,,6/2/2017,N54843,5380,5381,,20160211.Hg1,20170501,,,,1,,,,,
c57,,,,m,2/27/2016,3,170313-4:0,3/13/2017,380,,3/20/2017,,,4/25/2017,423,6,5/1/2017,,5/2/2017,,6/9/2017,N54844,5385,5386,,20160211.Hg1,20170501,,,,1,,,,,
c57,,,,m,2/27/2016,3,170313-5:0,3/13/2017,380,,3/20/2017,,,4/25/2017,423,6,5/1/2017,,5/2/2017,,6/12/2017,N54856,5390,5391,,20160211.Hg1,20170501,,,,1,,,,,
c57,,,,m,2/27/2016,3,170313-6:0,3/13/2017,380,,3/20/2017,,,4/25/2017,423,6,5/1/2017,,5/2/2017,,6/13/2017,N54857,5395,5396,,20160211.Hg1,20170501,,,,1,,,,,
c57,,,,m,2/27/2016,3,170313-7:0,3/13/2017,380,,3/20/2017,,drug preparation,4/25/2017,423,7,5/2/2017,,5/2/2017,perfusion ,6/14/2017,N54858,5400,5401,,20160211.Hg1,20170501,,,,1,,,,,
c57,872454,2,,m,4/15/2016,3,170501-3:0,5/1/2017,381,,5/8/2017,6,6/8/2018,6/9/2017,420,6,6/15/2017,7Tb image 5,6/16/2017,6/16/17 for 6,7/17/2017,N54891/N54900LRspecific,5405,5406,,20170619.HZ2,20170619,,,,1,,,,,
c57,,,,f,4/15/2016,3,170501-4:0,5/1/2017,381,,5/8/2017,,for 6,6/9/2017,420,6,6/15/2017,,6/16/2017,,7/18/2017,N54892,5410,5411,,20170619.HZ2,20170619,,,,1,,,,,
c57,959215,4,,m,4/15/2016,3,170501-5:0,5/1/2017,381,,5/8/2017,,,6/9/2017,420,6,6/15/2017,,6/16/2017,,7/19/2017,N54893,5415,5416,,20170619.HZ2,20170619,,,,1,,,,,
c57,,,,m,4/15/2016,3,170501-6:0,5/1/2017,381,,5/8/2017,,,6/9/2017,420,6,6/15/2017,,6/16/2017,,7/20/2017,N54897,5420,5421,,20170619.HZ2,20170619,,,,1,,,,,
c57,,,,f,4/15/2016,3,170501-7:0,5/1/2017,381,,5/8/2017,,,6/9/2017,420,6,6/15/2017,,6/16/2017,,7/21/2017,N54898,5425,5426,,20170619.HZ2,20170619,,,,1,,,,,
c57,,,,f,4/15/2016,3,170501-8:0,5/1/2017,381,380.4615385,5/8/2017,,,6/9/2017,420,7,6/16/2017,7Tb image 1,6/16/2017,,7/24/2017,N54899,5430,5431,,20170619.HZ2,20170619,,,,1,,,,,
C57BL/6J,,,,f,11/1/2016,,170227-1:0,2/27/2017,120,,3/6/2017,10,,5/5/2017,185,6,5/11/2017,,5/12/2017,,6/15/2017,N54859,5435,5436,,20170511.Hq1,20170511,,,,1,,,,,
C57BL/6J,,,,f,11/1/2016,,170227-2:0,2/27/2017,120,,3/6/2017,,,5/5/2017,185,6,5/11/2017,,5/12/2017,,6/16/2017,N54860,5440,5441,,20170511.Hq1,20170511,,,,1,,,,,
C57BL/6J,,,,f,11/1/2016,,170227-3:0,2/27/2017,120,,3/6/2017,,,5/5/2017,185,6,5/11/2017,,5/12/2017,,6/23/2017,N54861,5445,5446,,20170511.Hq1,20170511,,,,1,,,,,
C57BL/6J,,,,f,11/1/2016,,170227-4:0,2/27/2017,120,,3/6/2017,,,5/5/2017,185,6,5/11/2017,,5/12/2017,,6/26/2017,N54873,5450,5451,,20170511.Hq1,20170511,,,,1,,,,,
C57BL/6J,,,,f,11/1/2016,,170227-5:0,2/27/2017,120,,3/6/2017,,,5/5/2017,185,6,5/11/2017,,5/12/2017,,6/27/2017,N54874,5455,5456,,20170511.Hq1,20170511,,,,1,,,,,
C57BL/6J,,,,m,11/8/2016,,170227-6:0,2/27/2017,120,,3/6/2017,,,5/12/2017,185,6,5/18/2017,,5/19/2017,,6/28/2017,th,5460,5461,,20170518.Hx2,20170518,,,,1,,,,,
C57BL/6J,,,,m,11/8/2016,,170227-7:0,2/27/2017,120,,3/6/2017,,,5/12/2017,185,6,5/18/2017,,5/19/2017,,6/29/2017,N54876,5465,5466,,20170518.Hx2,20170518,,,,1,,,,,
C57BL/6J,,,,m,11/8/2016,,170227-8:0,2/27/2017,120,,3/6/2017,,,5/12/2017,185,6,5/18/2017,,5/19/2017,,6/30/2017,N54877,5470,5471,,20170518.Hx2,20170518,,,,1,,,,,
C57BL/6J,,,,m,11/8/2016,,170227-9:0,2/27/2017,120,,3/6/2017,,,5/12/2017,185,6,5/18/2017,,5/19/2017,,7/3/2017,N54879,5475,5476,,20170518.Hx2,20170518,,,,1,,,,,
C57BL/6J,,,,m,11/8/2016,,170227-10:0,2/27/2017,120,,3/6/2017,,,5/12/2017,185,7,5/18/2017,,5/19/2017,,7/10/2017,N54880,5480,5481,,20170518.Hx2,20170518,,,,1,,,,,
